hash;repo_name;author;date;extension;additions;deletions
55105aaf81cb6f30c7612714110023aa4a8b6c71;lets-plot;Valentin Dovidaytis;Fri Oct 25 17:25:38 2024 +0200;py;1;1
03243ec051792e03d5453656d640f80e22bb3fc4;lets-plot;Igor Alshannikov;Thu Oct 24 17:49:00 2024 -0400;md;5;1
193507eaca66f77362c32fd2aef839f461f5a715;lets-plot;Igor Alshannikov;Thu Oct 24 17:44:27 2024 -0400;kt;3;1
4e334082ddd311dbd8319bd31956158b1a9da8a7;lets-plot;Igor Alshannikov;Thu Oct 24 17:21:40 2024 -0400;kt;22;2
de9dd0b58e2f8d2b65ab1a9c0c5c236684b5932f;lets-plot;Igor Alshannikov;Thu Oct 24 16:36:10 2024 -0400;kt;52;28
70989b66b2986eb5677898321c48d45cb762dc83;lets-plot;Igor Alshannikov;Wed Oct 23 20:13:22 2024 -0400;ipynb;208;40
70989b66b2986eb5677898321c48d45cb762dc83;lets-plot;Igor Alshannikov;Wed Oct 23 20:13:22 2024 -0400;kt;5;2
862a92deff9790c733847c64a23027cee5a32016;lets-plot;Igor Alshannikov;Wed Oct 23 19:37:08 2024 -0400;kt;8;5
9877d7da13feec1d69fccdc18ec52a67845884de;lets-plot;Ivan Kupriyanov;Thu Oct 24 00:19:16 2024 +0200;kt;48;1
e38749a995d2fc92d936d6c836eceef831de897a;lets-plot;Ivan Kupriyanov;Thu Oct 24 00:15:51 2024 +0200;kt;185;10
89262ea71b3afa87bd4d93fc826fe49dc524f80a;lets-plot;Ivan Kupriyanov;Wed Oct 23 22:04:34 2024 +0200;kt;70;34
89262ea71b3afa87bd4d93fc826fe49dc524f80a;lets-plot;Ivan Kupriyanov;Wed Oct 23 22:04:34 2024 +0200;md;4;0
95c7a016096e192f66effafd903d1f9716d4e42b;lets-plot;Igor Alshannikov;Wed Oct 23 13:10:14 2024 -0400;yml;1;1
5aa78f977f4473d9ed6caab0b26a2e363546e494;lets-plot;Igor Alshannikov;Wed Oct 23 13:08:03 2024 -0400;ipynb;1199;333
5aa78f977f4473d9ed6caab0b26a2e363546e494;lets-plot;Igor Alshannikov;Wed Oct 23 13:08:03 2024 -0400;yml;2;2
8e362a0175fdbfeaa212588532f2ed983df9d5c0;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:24:44 2024 +0200;kts;1;1
8e362a0175fdbfeaa212588532f2ed983df9d5c0;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:24:44 2024 +0200;py;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;md;97;89
fed606ae898a3f2a3b0649dbdaf943504265eff5;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;js;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;kts;1;1
fed606ae898a3f2a3b0649dbdaf943504265eff5;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:22:18 2024 +0200;py;1;1
f7c09baa81905644be8bcafa793b3afd11150183;lets-plot;Valentin Dovidaytis;Wed Oct 23 17:11:45 2024 +0200;md;32;17
11d456f9bd6b205e7dea7510c8d0f9fbb23f6621;lets-plot;Artem Smirnov;Wed Oct 23 14:30:18 2024 +0200;py;6;3
7e47ab9f99e19e0029c5ddfb08e892f74838cd2c;lets-plot;Artem Smirnov;Wed Oct 23 14:12:14 2024 +0200;py;1;1
1bc887904c2b792b5830bcf54a46d66688acfd41;lets-plot;Artem Smirnov;Tue Oct 22 19:58:18 2024 +0200;py;32;7
08dce48e10bee2d34834b484bf3b655fece0ce49;lets-plot;Igor Alshannikov;Tue Oct 22 13:13:20 2024 -0400;md;4;4
f042d9100bd40eeb6a5d58a325b53acde8925490;lets-plot;Igor Alshannikov;Tue Oct 22 13:06:59 2024 -0400;md;2;0
45155b739d11cc2d1a859169bf19d321d6059fb1;lets-plot;Artem Smirnov;Tue Oct 22 17:38:58 2024 +0200;kt;1;0
f3b6ee7dca9340bf3e8cfc40cc0f180dc004a561;lets-plot;Artem Smirnov;Tue Oct 22 17:41:52 2024 +0200;py;465;229
f3b6ee7dca9340bf3e8cfc40cc0f180dc004a561;lets-plot;Artem Smirnov;Tue Oct 22 17:41:52 2024 +0200;ipynb;70;44
