number;state;author;title;created_at;closed;closed_at
401;CLOSED;Igor Alshannikov;Tooltip format for variable is not working;2021-07-01T20:02:52Z;true;2021-08-04T09:19:00Z
400;CLOSED;BrezDev;Axis value font size;2021-07-01T19:05:34Z;true;2022-10-03T20:01:17Z
399;CLOSED;Igor Alshannikov;Tooltip on axis: increase the font size.;2021-06-30T20:47:13Z;true;2021-06-30T21:29:58Z
398;CLOSED;Ilya Idamkin;Consider upgrading to 1.14 version of apache-batik;2021-06-21T13:37:35Z;true;2021-06-30T18:33:07Z
396;CLOSED;Andreas Radke;element_text() not implemented yet? ;2021-06-14T13:05:16Z;true;2022-10-03T20:12:48Z
393;CLOSED;Igor Alshannikov;tooltip on y-axis looks wrong;2021-06-12T15:42:45Z;true;2021-11-30T07:56:09Z
392;CLOSED;Igor Alshannikov;formatting: scale_x_datetime should apply date-time formatting to the breaks;2021-06-11T17:41:23Z;true;2021-08-18T14:48:15Z
391;CLOSED;Igor Alshannikov;faceted plot is broken by geom with "constant" aesthetics;2021-06-11T16:46:42Z;true;2021-08-06T19:30:51Z
390;CLOSED;Igor Alshannikov;Formatting: ".1s" pattern is not working as expected;2021-06-11T16:26:03Z;true;2021-07-22T20:40:42Z
388;CLOSED;Igor Alshannikov;tooltip default formatting should not change after adding other variables to tooltip;2021-06-11T01:00:36Z;true;2021-07-27T11:39:22Z
387;CLOSED;Igor Alshannikov;tooltip format() should understand date-time format pattern;2021-06-11T00:42:56Z;true;2021-08-18T13:46:00Z
386;CLOSED;Igor Alshannikov;maps: Simplify using 3-rd party raster tiles (helpers for well known free tiles).;2021-06-09T17:35:03Z;true;2021-08-02T20:10:18Z
385;CLOSED;Igor Alshannikov;Plots which have 'vline' layer are "levitating" above the Y-axis;2021-06-08T20:41:40Z;true;2021-06-09T15:23:40Z
384;CLOSED;Robert DeFilippi;Question: creating scatterplots with marginal histograms?;2021-06-03T14:43:28Z;true;2022-06-28T00:32:49Z
382;CLOSED;Igor Alshannikov;No tooltip shown when I'm trying to add an empty line.;2021-05-29T23:33:31Z;true;2021-11-23T14:55:41Z
381;OPEN;Igor Alshannikov;livemap: add possibility to zoom-out the map via double-click.;2021-05-28T22:19:01Z;false;
380;CLOSED;Igor Alshannikov;map_join is not working correctly when `map=geocoder`;2021-05-28T21:53:06Z;true;2021-06-16T21:15:22Z
379;CLOSED;Igor Alshannikov;geocoding: ValueError: No objects were found for Munich;2021-05-28T21:03:44Z;true;2021-06-29T08:41:35Z
378;OPEN;Igor Alshannikov;geocoding: incorrect geocoding of St.Petersburg;2021-05-28T20:43:30Z;false;
377;CLOSED;Igor Alshannikov;geocoding: ValueError: No objects were found for Czech Republic.;2021-05-28T20:26:41Z;true;2021-06-29T08:32:51Z
374;CLOSED;;Exclude slf4j implementation from lets-plot-common;2021-05-19T14:12:37Z;true;2021-06-04T21:40:44Z
373;CLOSED;Artem Smirnov;Zoom without clipping breaks tooltips;2021-05-19T13:09:42Z;true;2021-09-08T14:34:25Z
372;CLOSED;Artem Smirnov;scale_y_log10: hidden segments;2021-05-19T13:09:05Z;true;2021-07-16T19:31:17Z
